Parent Link (ID URL),Child Link (ID URL)
1: https://www.uni-hannover.de/de,
,2: https://www.archland.uni-hannover.de/de
,3: https://www.fbg.uni-hannover.de/de
,4: https://www.fei.uni-hannover.de/de
,5: https://www.maschinenbau.uni-hannover.de/de
,6: https://www.maphy.uni-hannover.de/de
,7: https://www.naturwissenschaften.uni-hannover.de/de
,8: https://www.jura.uni-hannover.de/de
,9: https://www.phil.uni-hannover.de/de
,10: https://www.wiwi.uni-hannover.de/de
,11: https://www.quest-lfs.uni-hannover.de/de
,12: https://www.lse.uni-hannover.de/de
,13: https://www.lso.uni-hannover.de/de
2: https://www.archland.uni-hannover.de/de,
,1: https://www.uni-hannover.de/de
,14: https://www.staedtebau.uni-hannover.de/de
,15: https://www.entwerfen.uni-hannover.de/de
,16: https://www.iek.uni-hannover.de/de
,17: https://www.igt.uni-hannover.de/de
,18: https://www.igd.uni-hannover.de/de
,19: https://www.ila.uni-hannover.de/de
,20: https://www.freiraum.uni-hannover.de/de
,21: https://www.umwelt.uni-hannover.de/de
,22: https://www.ibw.uni-hannover.de/de
,23: https://www.archland.uni-hannover.de/en
,24: https://www.archland.uni-hannover.de/de/kontakt-1
,25: https://www.archland.uni-hannover.de/de/fakultaet
,26: https://www.archland.uni-hannover.de/de/fakultaet/institute
,27: https://www.archland.uni-hannover.de/de/fakultaet/gleichstellung-und-bildungsgerechtigkeit
,28: https://www.archland.uni-hannover.de/de/fakultaet/intern
,29: https://www.archland.uni-hannover.de/de/fakultaet/organisation
,30: https://www.archland.uni-hannover.de/de/fakultaet/personenverzeichnis/results/eyJsYW5nIjowfQ==?cHash=10a9282bcdb61234253f1d39e656a768
,31: https://www.archland.uni-hannover.de/de/fakultaet/gremien
,32: https://www.archland.uni-hannover.de/de/fakultaet/profil
,33: https://www.archland.uni-hannover.de/de/fakultaet/ausstattung
,34: https://www.archland.uni-hannover.de/de/fakultaet/energiesparen
,35: https://www.archland.uni-hannover.de/de/studium
,36: https://www.archland.uni-hannover.de/de/studium/vor-dem-studium
,37: https://www.archland.uni-hannover.de/de/studium/praktikumsboerse
,38: https://www.archland.uni-hannover.de/de/studium/im-studium
,39: https://www.archland.uni-hannover.de/de/studium/nach-dem-studium
,40: https://www.archland.uni-hannover.de/de/studium/internationales
,41: https://www.archland.uni-hannover.de/de/forschung
,42: https://www.archland.uni-hannover.de/de/forschung/habitate-der-zukunft
,43: https://www.archland.uni-hannover.de/de/forschung/aulet-forschungsanreizprogramm
,44: https://www.archland.uni-hannover.de/de/forschung/forschungsprojekte
,45: https://www.archland.uni-hannover.de/de/forschung/promotionen
,46: https://www.archland.uni-hannover.de/de/forschung/forschung-an-den-instituten
,47: https://www.archland.uni-hannover.de/de/forschung/veranstaltungen-und-meldungen
,48: https://www.archland.uni-hannover.de/de/forschung/forschungskooperationen
,49: https://www.archland.uni-hannover.de/de/forschung/kontakt
,50: https://www.archland.uni-hannover.de/de/aktivitaeten
